insblock,instrial,duration,prewardA,prewardB,positionA,positionB,trialstart,trialend,eventNumber,presstime,latency,key,outcome,actual_time,optimal_time,trialstart_vblt,feedback_vblt,iti_fixonset_vblt,iti_fixoffset_vblt,ITI
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,1,108406.271908224,1952,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,2,108546.271908224,2092,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,3,108689.271908224,2235,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,4,108843.271908224,2389.00000000001,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,5,108986.271908224,2532.00000000001,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,6,109147.271908224,2693,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,7,109303.271908224,2849,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,8,109452.271908224,2998,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,9,109605.271908224,3151.00000000001,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,10,109771.271908224,3317.00000000001,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,11,109956.271908224,3502.00000000001,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,12,110100.271908224,3646,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,13,110258.271908224,3804,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,14,110442.271908224,3988,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,15,110605.271908224,4151.00000000001,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,106454.271908224,NaN,16,110772.271908224,4318,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
