insblock,instrial,duration,prewardA,prewardB,positionA,positionB,trialstart,trialend,eventNumber,presstime,latency,key,outcome,actual_time,optimal_time,trialstart_vblt,feedback_vblt,iti_fixonset_vblt,iti_fixoffset_vblt,ITI
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,1,95680.6548400132,5319,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,2,96803.6548400132,6441.99999999999,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,3,97470.6548400132,7108.99999999999,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,4,97873.6548400132,7512,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,5,98382.6548400132,8021,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,6,98515.6548400132,8154,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,7,98910.6548400132,8549.00000000001,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,8,99233.6548400132,8872,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,9,99458.6548400132,9096.99999999999,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,10,99758.6548400132,9397.00000000001,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,11,100078.654840013,9717,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90361.6548400132,NaN,12,100440.654840013,10079,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,1,100613.276953656,989.999999999995,"9(",0,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,2,100908.276953656,1285,"9(",0,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,3,101198.276953656,1575,"9(",1,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,4,101537.276953656,1914,"9(",0,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,5,102082.276953656,2459,"8*",-1,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,6,102324.276953656,2701.00000000001,"8*",0,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,7,102536.276953656,2913,"8*",1,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,8,102848.276953656,3224.99999999999,"8*",0,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,9,103157.276953656,3534.00000000001,"8*",0,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,10,103543.276953656,3920,"9(",-1,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,11,103790.276953656,4167,"9(",0,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,12,104048.276953656,4425,"9(",0,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99623.2769536559,719497.954308591,13,104238.276953656,4614.99999999999,"9(",0,13.3269000795872,7.8,710.293848791265,716.36047393415,NaN,NaN,0.8
