insblock,instrial,duration,prewardA,prewardB,positionA,positionB,trialstart,trialend,eventNumber,presstime,latency,key,outcome,actual_time,optimal_time,trialstart_vblt,feedback_vblt,iti_fixonset_vblt,iti_fixoffset_vblt,ITI
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,1,189375.775254011,800.999999999988,"9(",1,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,2,190173.775254011,1598.99999999999,"9(",1,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,3,190431.775254011,1857,"9(",0,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,4,190663.775254011,2089,"9(",0,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,5,190844.775254011,2270.00000000001,"9(",1,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,6,191016.775254011,2442.00000000001,"9(",0,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,7,191177.775254011,2603.00000000001,"9(",0,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,8,191331.775254011,2757.00000000001,"9(",1,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,9,191493.775254011,2919.00000000001,"9(",0,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,10,191664.775254011,3090,"9(",0,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,11,191849.775254011,3275.00000000001,"9(",1,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,12,192027.775254011,3453,"9(",0,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,13,192185.775254011,3610.99999999999,"9(",0,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,14,192346.775254011,3771.99999999999,"9(",1,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,15,192498.775254011,3924.00000000001,"9(",0,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,16,192666.775254011,4092.00000000001,"9(",0,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
1,13,6,0.466827504441061,0.591215396948166,1,3,188574.775254011,344390042.27506,17,192802.775254011,4228.00000000001,"9(",1,7.73983452548802,7.8,344382.322763566,344388.372741983,NaN,NaN,0.8
