insblock,instrial,duration,prewardA,prewardB,positionA,positionB,trialstart,trialend,eventNumber,presstime,latency,key,outcome,actual_time,optimal_time,trialstart_vblt,feedback_vblt,iti_fixonset_vblt,iti_fixoffset_vblt,ITI
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,1,90295.5157356858,1512.99999999999,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,2,90482.5157356858,1700,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,3,90645.5157356858,1863,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,4,90832.5157356858,2050,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,5,91005.5157356858,2223,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,6,91187.5157356858,2405,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,7,91367.5157356858,2584.99999999999,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,8,91536.5157356858,2753.99999999999,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,9,91698.5157356858,2916,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,10,91880.5157356858,3098,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,11,92070.5157356858,3288,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,12,92247.5157356858,3464.99999999999,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,13,92419.5157356858,3637,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,14,92574.5157356858,3792,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,15,92735.5157356858,3953,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,16,92894.5157356858,4111.99999999999,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,17,93087.5157356858,4304.99999999999,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,18,93258.5157356858,4476,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,19,93440.5157356858,4658,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,20,93667.5157356858,4884.99999999999,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,21,93843.5157356858,5060.99999999999,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,22,94028.5157356858,5246,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,23,94223.5157356858,5441,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,24,94413.5157356858,5631,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,25,94599.5157356858,5816.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,26,94778.5157356858,5996,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,27,94959.5157356858,6176.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,28,95149.5157356858,6366.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,29,95330.5157356858,6548,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,88782.5157356858,NaN,30,95510.5157356858,6727.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,1,97973.4918769598,810.999999999993,"9(",1,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,2,98120.4918769598,957.999999999998,"9(",0,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,3,98277.4918769598,1114.99999999999,"9(",0,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,4,98446.4918769598,1284.00000000001,"9(",0,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,5,98635.4918769598,1473,"9(",1,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,6,98853.4918769598,1691,"8*",-1,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,7,99038.4918769598,1876,"8*",1,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,8,99213.4918769598,2051,"8*",0,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,9,99399.4918769598,2236.99999999999,"8*",1,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,10,99588.4918769598,2426,"8*",1,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,11,99776.4918769598,2614,"8*",0,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,97162.4918769598,351506418.866229,12,99962.4918769598,2800,"8*",0,9.15194957760423,7.8,351498.099083832,351504.165772453,NaN,NaN,0.8
