insblock,instrial,duration,prewardA,prewardB,positionA,positionB,trialstart,trialend,eventNumber,presstime,latency,key,outcome,actual_time,optimal_time,trialstart_vblt,feedback_vblt,iti_fixonset_vblt,iti_fixoffset_vblt,ITI
1,2,6,0.249866446576134,0.310700407130837,1,3,163602.659709275,NaN,1,169448.659709275,5846,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,3,6,0.325715687150989,0.311433495310136,1,3,172504.562073827,279655599.34277,1,176629.562073827,4125,"9(",0,8.8881536812126,7.8,279646.762579207,279652.812344138,NaN,NaN,0.8
1,3,6,0.325715687150989,0.311433495310136,1,3,172504.562073827,279655599.34277,2,178519.562073827,6014.99999999999,"9(",1,8.8881536812126,7.8,279646.762579207,279652.812344138,NaN,NaN,0.8
1,4,6,0.217127828052315,0.325093512430813,1,3,180482.051112115,279663582.182136,1,181982.051112115,1500,"8*",0,7.96005216312148,7.8,279655.645715105,279661.71234449,NaN,NaN,0.8
1,4,6,0.217127828052315,0.325093512430813,1,3,180482.051112115,279663582.182136,2,182464.051112115,1982,"8*",0,7.96005216312148,7.8,279655.645715105,279661.71234449,NaN,NaN,0.8
1,4,6,0.217127828052315,0.325093512430813,1,3,180482.051112115,279663582.182136,3,183003.051112115,2520.99999999999,"8*",0,7.96005216312148,7.8,279655.645715105,279661.71234449,NaN,NaN,0.8
1,4,6,0.217127828052315,0.325093512430813,1,3,180482.051112115,279663582.182136,4,183208.051112115,2726,"8*",0,7.96005216312148,7.8,279655.645715105,279661.71234449,NaN,NaN,0.8
1,4,6,0.217127828052315,0.325093512430813,1,3,180482.051112115,279663582.182136,5,183391.051112115,2908.99999999999,"8*",0,7.96005216312148,7.8,279655.645715105,279661.71234449,NaN,NaN,0.8
1,4,6,0.217127828052315,0.325093512430813,1,3,180482.051112115,279663582.182136,6,183551.051112115,3068.99999999999,"8*",0,7.96005216312148,7.8,279655.645715105,279661.71234449,NaN,NaN,0.8
1,4,6,0.217127828052315,0.325093512430813,1,3,180482.051112115,279663582.182136,7,183711.051112115,3228.99999999998,"8*",0,7.96005216312148,7.8,279655.645715105,279661.71234449,NaN,NaN,0.8
1,4,6,0.217127828052315,0.325093512430813,1,3,180482.051112115,279663582.182136,8,183871.051112115,3388.99999999998,"8*",0,7.96005216312148,7.8,279655.645715105,279661.71234449,NaN,NaN,0.8
1,4,6,0.217127828052315,0.325093512430813,1,3,180482.051112115,279663582.182136,9,184025.051112115,3542.99999999998,"8*",0,7.96005216312148,7.8,279655.645715105,279661.71234449,NaN,NaN,0.8
