insblock,instrial,duration,prewardA,prewardB,positionA,positionB,trialstart,trialend,eventNumber,presstime,latency,key,outcome,actual_time,optimal_time,trialstart_vblt,feedback_vblt,iti_fixonset_vblt,iti_fixoffset_vblt,ITI
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,1,140028.9650588,2762.99999999998,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,2,140344.9650588,3078.99999999998,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,3,140623.9650588,3358,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,4,140831.9650588,3566,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,5,141033.9650588,3768,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,6,141246.9650588,3980.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,7,141451.9650588,4185.99999999998,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,8,141633.9650588,4367.99999999999,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,9,141803.9650588,4537.99999999998,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,10,142135.9650588,4870,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,11,142312.9650588,5047,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,12,142500.9650588,5234.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,13,142668.9650588,5402.99999999999,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,14,142836.9650588,5571,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,15,143014.9650588,5749,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,16,143185.9650588,5919.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,17,143369.9650588,6103.99999999999,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,18,143543.9650588,6277.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,19,143701.9650588,6435.99999999998,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,20,143869.9650588,6603.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,21,144037.9650588,6771.99999999999,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,22,144224.9650588,6959,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,23,144394.9650588,7128.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,137265.9650588,NaN,24,144574.9650588,7309,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,1,147371.725572949,568.999999999988,"9(",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,2,147539.725572949,736.999999999995,"9(",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,3,147700.725572949,897.999999999996,"9(",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,4,147869.725572949,1067.00000000001,"9(",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,5,148025.725572949,1222.99999999998,"9(",1,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,6,148189.725572949,1387,"9(",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,7,148387.725572949,1585.00000000001,"9(",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,8,148603.725572949,1800.99999999999,"9(",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,9,148757.725572949,1954.99999999998,"9(",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,10,148928.725572949,2126,"9(",1,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,11,149103.725572949,2300.99999999999,"8*",-1,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,12,149275.725572949,2472.99999999998,"8*",1,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,13,149418.725572949,2615.99999999999,"8*",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,14,149557.725572949,2755,"8*",1,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,15,149706.725572949,2904,"8*",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,16,149843.725572949,3041,"8*",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,17,149982.725572949,3180.00000000001,"8*",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,18,150130.725572949,3328,"8*",1,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,19,150292.725572949,3490.00000000001,"8*",1,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,20,150455.725572949,3652.99999999999,"8*",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,146802.725572949,9691860.69062471,21,150617.725572949,3815,"8*",0,10.8376758613894,7.8,9682.37417743672,9688.44082588286,NaN,NaN,0.8
