insblock,instrial,duration,prewardA,prewardB,positionA,positionB,trialstart,trialend,eventNumber,presstime,latency,key,outcome,actual_time,optimal_time,trialstart_vblt,feedback_vblt,iti_fixonset_vblt,iti_fixoffset_vblt,ITI
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,1,164694.381527513,1660,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,2,164884.381527513,1849.99999999999,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,3,165045.381527513,2011,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,4,165195.381527513,2161,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,5,165338.381527513,2304,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,6,165493.381527513,2459,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,7,165649.381527513,2614.99999999998,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,8,165977.381527513,2942.99999999998,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,9,166143.381527513,3109.00000000001,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,10,166296.381527513,3262,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,11,166440.381527513,3406.00000000001,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,12,166596.381527513,3561.99999999998,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,13,166744.381527513,3710.00000000001,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,14,166902.381527513,3867.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,15,167057.381527513,4023,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,16,167212.381527513,4178,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,17,167359.381527513,4324.99999999999,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,18,167477.381527513,4442.99999999998,"8*",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,19,167926.381527513,4892,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,20,168060.381527513,5025.99999999998,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,21,168187.381527513,5152.99999999999,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,22,168571.381527513,5537.00000000001,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,23,168712.381527513,5678,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,24,168840.381527513,5805.99999999998,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,25,168975.381527513,5941,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,26,169109.381527513,6074.99999999999,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,27,169233.381527513,6198.99999999998,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,28,169357.381527513,6323.00000000001,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,29,169486.381527513,6452,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,30,169603.381527513,6568.99999999999,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,31,169722.381527513,6687.99999999999,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,163034.381527513,NaN,32,169849.381527513,6815,"9(",1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
