insblock,instrial,duration,prewardA,prewardB,positionA,positionB,trialstart,trialend,eventNumber,presstime,latency,key,outcome,actual_time,optimal_time,trialstart_vblt,feedback_vblt,iti_fixonset_vblt,iti_fixoffset_vblt,ITI
1,1,6,0.4,0.4,1,3,109884.961461451,NaN,1,112431.961461451,2547,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,109884.961461451,NaN,2,112566.961461451,2682,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,109884.961461451,NaN,3,112727.961461451,2843,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,109884.961461451,NaN,4,112803.961461451,2919,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,109884.961461451,NaN,5,112993.961461451,3109.00000000001,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,109884.961461451,NaN,6,113104.961461451,3220,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,109884.961461451,NaN,7,113242.961461451,3358,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,109884.961461451,NaN,8,113363.961461451,3479,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,109884.961461451,NaN,9,113509.961461451,3625,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,109884.961461451,NaN,10,113631.961461451,3747,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,109884.961461451,NaN,11,113764.961461451,3880.00000000001,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
