insblock,instrial,duration,prewardA,prewardB,positionA,positionB,trialstart,trialend,eventNumber,presstime,latency,key,outcome,actual_time,optimal_time,trialstart_vblt,feedback_vblt,iti_fixonset_vblt,iti_fixoffset_vblt,ITI
1,3,6,0.611122273784016,0.145499289560243,1,3,67202.1699153185,179996887.393196,1,69600.1699153185,2398,"9(",1,8.66308513536458,7.8,179988.250878057,179994.317501577,NaN,NaN,0.8
1,3,6,0.611122273784016,0.145499289560243,1,3,67202.1699153185,179996887.393196,2,71154.1699153185,3952,"9(",1,8.66308513536458,7.8,179988.250878057,179994.317501577,NaN,NaN,0.8
1,3,6,0.611122273784016,0.145499289560243,1,3,67202.1699153185,179996887.393196,3,72177.1699153185,4974.99999999999,"9(",1,8.66308513536458,7.8,179988.250878057,179994.317501577,NaN,NaN,0.8
1,3,6,0.611122273784016,0.145499289560243,1,3,67202.1699153185,179996887.393196,4,72857.1699153185,5655,"9(",1,8.66308513536458,7.8,179988.250878057,179994.317501577,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,1,77446.8694162369,1501,"9(",1,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,2,77846.8694162369,1901,"9(",1,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,3,78202.8694162369,2257.00000000001,"9(",0,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,4,78521.8694162369,2575.99999999999,"9(",0,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,5,78875.8694162369,2929.99999999999,"9(",0,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,6,79193.8694162369,3248,"9(",0,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,7,79514.8694162369,3569,"9(",1,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,8,79828.8694162369,3883,"9(",0,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,9,80149.8694162369,4203.99999999999,"9(",1,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,10,80474.8694162369,4529,"9(",1,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,11,80797.8694162369,4852,"9(",1,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,12,81104.8694162369,5159.00000000001,"9(",1,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,13,81396.8694162369,5450.99999999999,"9(",1,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,4,6,0.533173312601584,0.117758382153709,1,3,75945.8694162369,180005620.9258,14,81706.8694162369,5761,"9(",1,8.72189829760942,7.8,179996.917543453,180002.967477076,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,1,88231.8178509772,920.000000000002,"8*",0,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,2,88553.8178509772,1242,"8*",0,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,3,88877.8178509772,1566,"8*",1,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,4,89216.8178509772,1905,"8*",0,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,5,89524.8178509772,2212.99999999999,"8*",1,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,6,89834.8178509772,2523,"8*",1,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,7,90151.8178509772,2840,"8*",0,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,8,90463.8178509772,3152,"8*",0,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,9,90778.8178509772,3467,"8*",0,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,10,91129.8178509772,3818,"9(",-1,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,11,91430.8178509772,4119,"9(",0,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,12,91735.8178509772,4424.00000000001,"9(",1,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,13,92055.8178509772,4744,"9(",1,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,14,92330.8178509772,5019.00000000001,"9(",1,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,15,92623.8178509772,5312,"9(",0,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,16,92922.8178509772,5611,"9(",0,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,5,6,0.397794864615028,0.192028316273501,1,3,87311.8178509772,180016987.068365,17,93230.8178509772,5919,"9(",0,11.3478744090693,7.8,180005.667478572,180011.717460288,NaN,NaN,0.8
1,6,6,0.272651461286265,0.274483727971766,1,3,101202.456418276,180030871.444336,1,102162.456418276,960.000000000008,"9(",0,13.8658465311882,7.8,180017.034105581,180023.084082606,NaN,NaN,0.8
1,6,6,0.272651461286265,0.274483727971766,1,3,101202.456418276,180030871.444336,2,102515.456418276,1313,"9(",1,13.8658465311882,7.8,180017.034105581,180023.084082606,NaN,NaN,0.8
1,6,6,0.272651461286265,0.274483727971766,1,3,101202.456418276,180030871.444336,3,102823.456418276,1621.00000000001,"9(",0,13.8658465311882,7.8,180017.034105581,180023.084082606,NaN,NaN,0.8
1,6,6,0.272651461286265,0.274483727971766,1,3,101202.456418276,180030871.444336,4,103115.456418276,1913.00000000001,"9(",0,13.8658465311882,7.8,180017.034105581,180023.084082606,NaN,NaN,0.8
