"id","instrial","latency_bin","key","binmedian","npress","nreward"
"068",1,"[ 400, 800)","2",696.249846834689,2,0
"068",1,"[ 800,1200)","2",1062.88186041638,3,0
"068",1,"[1200,1600)","2",1446.14274217747,3,0
"068",1,"[1600,2000)","2",1862.52032004995,3,0
"068",1,"[2000,2400)","2",2229.0050026204,2,0
"068",1,"[2400,2800)","2",2578.88564796303,2,0
"068",1,"[2800,3200)","2",3012.05664128065,3,0
"068",1,"[3200,3600)","2",3395.34351293696,2,0
"068",1,"[3600,4000)","2",3845.03660094924,3,1
"068",1,"[4000,4400)","2",4220.08121415274,2,1
"068",1,"[4400,4800)","2",4595.03378678346,3,0
"068",1,"[4800,5200)","2",5028.4951380454,3,1
"068",1,"[5200,5600)","2",5403.21198114544,2,0
"068",1,"[5600,6000]","2",5777.78149320511,3,0
"068",2,"[   0, 400)","1",351.097036502324,1,1
"068",2,"[ 400, 800)","1",534.459891205188,1,0
"068",2,"[ 800,1200)","1",967.915614077356,3,0
"068",2,"[1200,1600)","1",1217.64594869455,1,0
"068",2,"[1200,1600)","2",1467.27762121009,1,0
"068",2,"[1600,2000)","2",1800.50224967999,3,0
"068",2,"[2000,2400)","2",2134.29451629053,2,1
"068",2,"[2400,2800)","2",2534.41122232471,1,0
"068",2,"[2800,3200)","2",2966.77272286615,2,0
"068",2,"[3200,3600)","2",3366.6161216097,3,0
"068",2,"[3600,4000)","2",3783.17910479382,3,2
"068",2,"[4000,4400)","2",4158.31940033241,2,0
"068",2,"[4400,4800)","2",4649.62372655282,3,0
"068",2,"[4800,5200)","2",5032.79902396025,2,0
"068",2,"[5200,5600)","1",5533.19747978821,1,0
"068",2,"[5200,5600)","2",5266.02745981654,1,0
"068",2,"[5600,6000]","1",5865.76921673259,3,1
"068",3,"[ 400, 800)","1",588.950837787706,3,0
"068",3,"[ 800,1200)","1",1005.54295611801,3,2
"068",3,"[1200,1600)","1",1438.95365198841,3,2
"068",3,"[1600,2000)","1",1788.86210813652,2,0
"068",3,"[2000,2400)","1",2113.71966058504,2,0
"068",3,"[2400,2800)","2",2588.5843312717,3,0
"068",3,"[2800,3200)","2",3038.22163218865,3,0
"068",3,"[3200,3600)","2",3421.25141949509,2,0
"068",3,"[3600,4000)","2",3804.92549022892,3,1
"068",3,"[4000,4400)","2",4188.01420999807,2,1
"068",3,"[4400,4800)","1",4621.17957498413,1,0
"068",3,"[4400,4800)","2",4422.58004710311,1,0
"068",3,"[4800,5200)","1",4954.49127769098,3,1
"068",3,"[5200,5600)","1",5371.16219321615,2,1
"068",3,"[5600,6000]","1",5803.92264627153,3,0
"068",4,"[ 400, 800)","1",610.405209910823,2,1
"068",4,"[ 800,1200)","1",1018.43921851832,3,1
"068",4,"[1200,1600)","1",1385.01875574002,2,1
"068",4,"[1600,2000)","1",1801.56899231952,3,1
"068",4,"[2000,2400)","1",2209.72682515275,2,0
"068",4,"[2400,2800)","1",2576.26895024441,2,1
"068",4,"[2800,3200)","1",3001.14057364408,3,1
"068",4,"[3200,3600)","1",3417.63469198486,2,1
"068",4,"[3600,4000)","1",3850.84806365194,1,0
"068",4,"[4000,4400)","1",4184.0968610486,2,1
"068",4,"[4400,4800)","1",4550.93861432397,2,0
"068",4,"[4800,5200)","1",4950.89044203633,2,1
"068",4,"[5200,5600)","1",5316.95100996876,2,0
"068",4,"[5600,6000]","1",5783.43569248682,3,0
"068",5,"[   0, 400)","2",369.206167350058,1,0
"068",5,"[ 400, 800)","2",610.897361621027,2,1
"068",5,"[ 800,1200)","2",1002.74631590582,3,1
"068",5,"[1200,1600)","2",1361.03426356567,2,0
"068",5,"[1600,2000)","1",1885.45065073413,2,0
"068",5,"[1600,2000)","2",1618.98616410326,1,0
"068",5,"[2000,2400)","1",2201.95039745886,2,1
"068",5,"[2400,2800)","1",2493.51230461617,2,0
"068",5,"[2800,3200)","1",3026.88525730627,2,0
"068",5,"[3200,3600)","2",3385.82129578571,2,0
"068",5,"[3600,4000)","2",3768.05566134863,3,0
"068",5,"[4000,4400)","2",4184.75240116823,2,2
"068",5,"[4400,4800)","2",4601.07071558014,3,0
"068",5,"[4800,5200)","2",4975.94267004752,2,0
"068",5,"[5200,5600)","2",5300.86908731028,2,2
"068",5,"[5600,6000]","2",5750.71364484029,3,1
"068",6,"[   0, 400)","1",389.531884749886,1,0
"068",6,"[ 400, 800)","1",689.446465868969,1,1
"068",6,"[ 800,1200)","1",1022.77604694245,1,0
"068",6,"[1200,1600)","1",1380.88173459982,2,1
"068",6,"[1600,2000)","1",1880.71304888581,2,1
"068",6,"[2000,2400)","1",2189.2378849152,2,0
"068",6,"[2400,2800)","1",2589.07731069485,3,1
"068",6,"[2800,3200)","1",2921.99304071255,1,1
"068",6,"[3200,3600)","1",3422.19168919837,3,1
"068",6,"[3600,4000)","1",3855.10626042378,2,0
"068",6,"[4000,4400)","1",4196.60757976817,2,0
"068",6,"[4400,4800)","1",4679.95222503668,2,0
"068",6,"[4800,5200)","1",5046.55278587598,2,1
"068",6,"[5200,5600)","1",5379.77906971355,2,2
"068",6,"[5600,6000]","1",5738.353733439,3,1
"068",7,"[   0, 400)","1",279.969937808346,1,0
"068",7,"[ 400, 800)","1",680.341410567053,1,0
"068",7,"[ 400, 800)","2",413.78885647282,1,0
"068",7,"[ 800,1200)","2",1113.28462028177,1,0
"068",7,"[1200,1600)","2",1396.54914394487,3,2
"068",7,"[1600,2000)","2",1812.9495664034,3,1
"068",7,"[2000,2400)","2",2229.44202937651,3,2
"068",7,"[2400,2800)","2",2712.45758025907,1,0
"068",7,"[2800,3200)","2",2987.45782856713,2,0
"068",7,"[3200,3600)","2",3395.57046891423,3,0
"068",7,"[3600,4000)","2",3828.79509733175,2,1
"068",7,"[4000,4400)","2",4211.9295062148,3,0
"068",7,"[4400,4800)","2",4545.19883060129,1,1
"068",7,"[4800,5200)","1",5011.92884409102,3,0
"068",7,"[5200,5600)","1",5469.86137639033,2,0
"068",7,"[5600,6000]","1",5819.77198456297,2,0
"068",8,"[   0, 400)","1",327.644260250963,1,1
"068",8,"[ 400, 800)","1",569.398359861225,2,0
"068",8,"[ 800,1200)","1",961.441658611875,3,2
"068",8,"[1200,1600)","1",1493.98773678695,2,2
"068",8,"[1600,2000)","1",1777.76527032256,1,0
"068",8,"[2000,2400)","1",2285.45661023236,2,0
"068",8,"[2400,2800)","1",2635.39138727356,2,1
"068",8,"[2800,3200)","1",2968.51801578305,2,0
"068",8,"[3200,3600)","1",3451.67477265931,2,0
"068",8,"[3600,4000)","1",3826.55914264615,2,0
"068",8,"[4000,4400)","1",4143.05061235791,2,1
"068",8,"[4400,4800)","1",4509.5975380973,2,0
"068",8,"[4800,5200)","1",4917.99159717629,2,0
"068",8,"[5200,5600)","1",5392.72615307709,3,2
"068",8,"[5600,6000]","1",5850.83697250229,2,0
"068",9,"[   0, 400)","1",350.114719534758,1,0
"068",9,"[ 400, 800)","1",616.720908728894,2,0
"068",9,"[ 800,1200)","1",1033.16437173635,3,2
"068",9,"[1200,1600)","1",1441.7122178711,2,1
"068",9,"[1600,2000)","1",1816.29017251544,3,1
"068",9,"[2000,2400)","1",2216.19581448613,2,0
"068",9,"[2400,2800)","1",2666.38966230676,3,2
"068",9,"[2800,3200)","1",3065.91903086519,2,1
"068",9,"[3200,3600)","1",3407.72660000949,2,0
"068",9,"[3600,4000)","1",3765.890557901,2,2
"068",9,"[4000,4400)","1",4182.48433156987,2,0
"068",9,"[4400,4800)","1",4532.0482981042,1,0
"068",9,"[4400,4800)","2",4731.98274406604,1,0
"068",9,"[4800,5200)","2",4991.2313228997,2,0
"068",9,"[5200,5600)","2",5381.85147050535,3,1
"068",9,"[5600,6000]","1",5832.0398555079,2,0
"069",1,"[ 400, 800)","1",784.460667462554,1,0
"069",1,"[ 800,1200)","1",1067.69815256302,2,1
"069",1,"[1200,1600)","1",1417.69699377619,1,0
"069",1,"[1600,2000)","1",1884.28684942483,1,0
"069",1,"[2000,2400)","1",2242.40978016314,2,1
"069",1,"[2400,2800)","2",2618.31214408812,1,0
"069",1,"[2800,3200)","2",2901.09439147182,2,0
"069",1,"[3200,3600)","2",3425.2989670249,2,0
"069",1,"[3600,4000)","2",3900.16024367651,1,0
"069",1,"[4000,4400)","2",4208.38845848266,2,1
"069",1,"[4400,4800)","2",4608.56641504506,2,0
"069",1,"[4800,5200)","2",5033.39756323658,3,0
"069",1,"[5200,5600)","2",5408.34773539973,2,1
"069",1,"[5600,6000]","2",5799.86326314429,3,1
"069",2,"[ 400, 800)","2",536.258939213439,2,0
"069",2,"[ 800,1200)","2",994.736458746047,3,1
"069",2,"[1200,1600)","2",1345.37081181224,1,0
"069",2,"[1600,2000)","2",1703.08022116205,2,1
"069",2,"[2000,2400)","2",2227.64120646207,2,1
"069",2,"[2400,2800)","2",2628.04760958806,2,1
"069",2,"[2800,3200)","2",3051.9964243149,2,0
"069",2,"[3200,3600)","2",3360.64362336128,2,0
"069",2,"[3600,4000)","2",3626.65276122425,1,0
"069",2,"[4000,4400)","1",4194.1962985029,2,1
"069",2,"[4400,4800)","1",4660.15031121606,1,1
"069",2,"[4800,5200)","1",4952.402165276,2,0
"069",2,"[5200,5600)","1",5419.29876837458,2,1
"069",2,"[5600,6000]","1",5851.24370944231,2,1
"069",3,"[ 400, 800)","1",626.636538207094,3,0
"069",3,"[ 800,1200)","1",958.994172957318,1,0
"069",3,"[1200,1600)","1",1400.37544696134,2,0
"069",3,"[1600,2000)","1",1708.72665872139,2,0
"069",3,"[2000,2400)","2",2308.6021718982,2,0
"069",3,"[2400,2800)","2",2624.99801350895,2,0
"069",3,"[2800,3200)","2",3174.72586412441,1,1
"069",3,"[3200,3600)","2",3524.67918156617,1,0
"069",3,"[3600,4000)","2",3791.25463514811,2,1
"069",3,"[4000,4400)","2",4224.47357965938,2,0
"069",3,"[4400,4800)","2",4724.29711296536,1,0
"069",3,"[4800,5200)","2",4999.1302476501,2,0
"069",3,"[5200,5600)","2",5423.97861210521,2,0
"069",3,"[5600,6000]","2",5928.5970401279,2,1
"069",4,"[   0, 400)","2",346.727254667712,1,0
"069",4,"[ 400, 800)","2",621.815488014362,2,1
"069",4,"[ 800,1200)","2",1063.1760693941,3,1
"069",4,"[1200,1600)","2",1421.4039531189,2,0
"069",4,"[1600,2000)","2",1721.36985167526,2,0
"069",4,"[2000,2400)","2",2229.48417428233,3,1
"069",4,"[2400,2800)","2",2646.23079724606,2,0
"069",4,"[2800,3200)","2",2954.20805191406,2,0
"069",4,"[3200,3600)","2",3279.09035227185,2,1
"069",4,"[3600,4000)","2",3762.26327638778,2,1
"069",4,"[4000,4400)","2",4112.13713415419,2,1
"069",4,"[4400,4800)","2",4545.34250430424,2,0
"069",4,"[4800,5200)","2",4945.15428420164,3,0
"069",4,"[5200,5600)","2",5403.57568534001,2,0
"069",4,"[5600,6000]","2",5794.87187127597,1,0
"069",4,NA,"2",NA,1,0
"069",5,"[ 400, 800)","2",529.86458747182,2,1
"069",5,"[ 800,1200)","2",971.815653554586,3,0
"069",5,"[1200,1600)","2",1479.71377963131,2,1
"069",5,"[1600,2000)","2",1887.6532909544,1,0
"069",5,"[2000,2400)","2",2304.13024764857,1,0
"069",5,"[2400,2800)","2",2570.80949542978,2,1
"069",5,"[2800,3200)","2",3004.4093497545,3,0
"069",5,"[3200,3600)","2",3395.61912329464,2,0
"069",5,"[3600,4000)","2",3770.72308303468,3,0
"069",5,"[4000,4400)","2",4178.46560058206,2,0
"069",5,"[4400,4800)","1",4736.60111243407,1,0
"069",5,"[4400,4800)","2",4486.7126870613,1,0
"069",5,"[4800,5200)","1",5128.29906634852,2,0
"069",5,"[5200,5600)","1",5419.80582042015,2,0
"069",5,"[5600,6000]","1",5819.53648523267,3,0
"069",6,"[ 400, 800)","2",598.497549994136,3,0
"069",6,"[ 800,1200)","2",915.06323665817,1,0
"069",6,"[1200,1600)","2",1423.24278241358,2,1
"069",6,"[1600,2000)","2",1839.78032711002,2,0
"069",6,"[2000,2400)","2",2164.69474241785,1,0
"069",6,"[2400,2800)","2",2539.53185008595,2,0
"069",6,"[2800,3200)","2",2981.06575288057,2,1
"069",6,"[3200,3600)","2",3430.98232022385,3,0
"069",6,"[3600,4000)","2",3805.81578598867,2,0
"069",6,"[4000,4400)","1",4214.26466693265,1,0
"069",6,"[4000,4400)","2",4064.0163554508,1,1
"069",6,"[4400,4800)","1",4563.78228049289,3,0
"069",6,"[4800,5200)","1",4880.35458879676,1,0
"069",6,"[5200,5600)","1",5355.46914316001,2,1
"069",6,"[5600,6000]","1",5863.69917891716,3,1
"069",7,"[   0, 400)","1",314.236193882607,1,1
"069",7,"[ 400, 800)","1",648.82995629705,1,0
"069",7,"[ 800,1200)","1",980.926036287201,3,0
"069",7,"[1200,1600)","1",1397.27271222364,2,0
"069",7,"[1600,2000)","1",1813.94053767781,2,2
"069",7,"[2000,2400)","1",2172.65544298789,2,0
"069",7,"[2400,2800)","1",2763.43034035199,1,1
"069",7,"[2800,3200)","1",3021.69000794584,2,0
"069",7,"[3200,3600)","1",3396.52463249968,2,0
"069",7,"[3600,4000)","1",3763.20354919881,2,2
"069",7,"[4000,4400)","1",4179.74788107585,2,0
"069",7,"[4400,4800)","1",4587.8511124356,2,0
"069",7,"[4800,5200)","1",4937.62382465866,2,0
"069",7,"[5200,5600)","1",5412.72530128481,2,0
"069",7,"[5600,6000]","2",5945.54363660427,1,0
"069",7,NA,"1",NA,1,0
"069",8,"[   0, 400)","1",362.136803072644,1,0
"069",8,"[ 400, 800)","1",620.080121838327,2,0
"069",8,"[ 800,1200)","1",1028.35485366268,3,1
"069",8,"[1200,1600)","1",1386.63157197698,2,0
"069",8,"[1600,2000)","1",1778.13650509871,2,0
"069",8,"[2000,2400)","1",2111.48755131853,2,0
"069",8,"[2400,2800)","2",2636.28310819877,2,0
"069",8,"[2800,3200)","2",3027.70659515409,3,1
"069",8,"[3200,3600)","2",3461.27102370519,3,0
"069",8,"[3600,4000)","2",3811.23030062281,2,0
"069",8,"[4000,4400)","2",4210.68500860929,3,1
"069",8,"[4400,4800)","2",4643.78327373925,3,0
"069",8,"[4800,5200)","2",4993.61657396457,2,0
"069",8,"[5200,5600)","2",5418.41362071227,2,0
"069",8,"[5600,6000]","2",5888.28201562774,2,0
"069",9,"[ 400, 800)","1",494.440471460621,1,0
"069",9,"[ 800,1200)","1",969.591941465295,2,0
"069",9,"[1200,1600)","1",1444.34031916444,2,0
"069",9,"[1600,2000)","1",1760.96510396019,1,0
"069",9,"[2000,2400)","1",2119.08952456725,2,0
"069",9,"[2400,2800)","1",2643.68974308127,2,0
"069",9,"[2800,3200)","1",2976.90239703479,1,0
"069",9,"[3200,3600)","1",3402.02936697187,2,1
"069",9,"[3600,4000)","1",3743.34889418606,1,0
"069",9,"[4000,4400)","1",4276.5314196804,2,0
"069",9,"[4800,5200)","1",5010.05065554273,1,0
"069",9,"[5200,5600)","1",5334.45321811723,2,0
"069",9,"[5600,6000]","1",5876.24089524616,1,1
"069",10,"[ 400, 800)","2",596.964971527996,3,2
"069",10,"[ 800,1200)","2",1095.10114554451,2,0
"069",10,"[1200,1600)","2",1419.78016156827,2,0
"069",10,"[1600,2000)","2",1728.0204608669,2,0
"069",10,"[2000,2400)","2",2186.13842537434,2,0
"069",10,"[2400,2800)","1",2678.18699510099,1,0
"069",10,"[2400,2800)","2",2461.11210435811,1,0
"069",10,"[2800,3200)","1",2977.52466560814,2,0
"069",10,"[3200,3600)","1",3402.40862137489,2,0
"069",10,"[3600,4000)","1",3810.70239041219,2,1
"069",10,"[4000,4400)","1",4293.72665872143,1,0
"069",10,"[4400,4800)","1",4551.99162362624,2,1
"069",10,"[4800,5200)","1",4944.21036948916,3,1
"069",10,"[5200,5600)","1",5476.81300490149,2,0
"069",10,"[5600,6000]","1",5759.92484439303,1,0
"069",11,"[   0, 400)","1",219.950337703267,2,0
"069",11,"[ 400, 800)","1",586.498808104807,2,1
"069",11,"[ 800,1200)","1",1094.67885048344,2,1
"069",11,"[1200,1600)","1",1419.60783339982,2,0
"069",11,"[1600,2000)","1",1794.46530260975,3,0
"069",11,"[2000,2400)","1",2185.98281684626,2,0
"069",11,"[2400,2800)","2",2652.70493974276,2,0
"069",11,"[2800,3200)","2",3043.9653688245,3,0
"069",11,"[3200,3600)","2",3435.54827175194,2,1
"069",11,"[3600,4000)","2",3761.47149384179,2,0
"069",11,"[4000,4400)","2",4211.01724937034,2,0
"069",11,"[4400,4800)","2",4543.68825321126,2,0
"069",11,"[4800,5200)","2",4993.72069924539,3,1
"069",11,"[5200,5600)","2",5384.85084756939,2,0
"069",11,"[5600,6000]","2",5776.48589590717,3,2
"069",12,"[ 400, 800)","2",604.915574096594,3,0
"069",12,"[ 800,1200)","2",1046.02983048608,2,0
"069",12,"[1200,1600)","2",1404.68514104032,1,0
"069",12,"[1600,2000)","2",1604.62223546529,1,0
"069",12,"[2000,2400)","1",2154.1492848637,2,1
"069",12,"[2400,2800)","1",2554.27691696423,3,1
"069",12,"[2800,3200)","1",2978.87001721665,2,0
"069",12,"[3200,3600)","1",3387.19854986084,2,0
"069",12,"[3600,4000)","1",3654.02595682644,1,0
"069",12,"[4000,4400)","1",4203.32505628357,2,0
"069",12,"[4400,4800)","1",4570.11107800281,2,1
"069",12,"[4800,5200)","1",4994.91971262159,2,0
"069",12,"[5200,5600)","1",5369.54443120066,2,0
"069",12,"[5600,6000]","1",5744.62819494147,2,1
"069",13,"[   0, 400)","1",312.744669579843,1,0
"069",13,"[ 400, 800)","1",595.968911401542,2,0
"069",13,"[ 800,1200)","1",1012.48344590022,3,0
"069",13,"[1200,1600)","1",1445.73582969042,2,1
"069",13,"[1600,2000)","1",1846.04456363377,3,0
"069",13,"[2000,2400)","1",2162.12918818746,1,0
"069",13,"[2400,2800)","1",2495.32611574614,1,0
"069",13,"[2800,3200)","2",3095.60190703269,1,0
"069",13,"[3200,3600)","2",3428.4687458603,3,0
"069",13,"[3600,4000)","2",3836.69017348712,2,1
"069",13,"[4000,4400)","2",4228.17739372294,3,0
"069",13,"[4400,4800)","2",4619.67355317211,2,0
"069",13,"[4800,5200)","2",4953.3482320212,2,1
"069",13,"[5200,5600)","2",5411.44798702135,2,0
"069",13,"[5600,6000]","2",5886.0664150443,2,0
"069",14,"[ 400, 800)","2",581.058469077107,3,0
"069",14,"[ 800,1200)","2",1039.33220765339,2,0
"069",14,"[1200,1600)","2",1389.21103165103,2,1
"069",14,"[1600,2000)","2",1780.76281287213,3,1
"069",14,"[2000,2400)","2",2113.94119984107,1,0
"069",14,"[2400,2800)","2",2580.49298106198,3,0
"069",14,"[2800,3200)","2",3013.67947953804,2,0
"069",14,"[3200,3600)","2",3371.87276519671,2,1
"069",14,"[3600,4000)","2",3929.93676334117,1,0
"069",14,"[4000,4400)","2",4246.46636207035,1,1
"069",14,"[4400,4800)","2",4646.45411203674,3,1
"069",14,"[4800,5200)","2",5046.57628128734,1,0
"069",14,"[5200,5600)","2",5371.37730101949,2,0
"069",14,"[5600,6000]","2",5813.14660309909,1,0
"069",15,"[ 400, 800)","2",565.053966362029,3,1
"069",15,"[ 800,1200)","2",998.613428684621,3,1
"069",15,"[1200,1600)","2",1448.0724407349,3,1
"069",15,"[1600,2000)","2",1798.03916699711,2,1
"069",15,"[2000,2400)","2",2231.39385511786,2,0
"069",15,"[2400,2800)","2",2581.06740828953,3,2
"069",15,"[2800,3200)","2",3014.30671434173,3,0
"069",15,"[3200,3600)","2",3430.79426565964,3,1
"069",15,"[3600,4000)","2",3847.86683882885,1,0
"069",15,"[4000,4400)","2",4163.89617269124,3,1
"069",15,"[4400,4800)","2",4613.64587471871,3,0
"069",15,"[4800,5200)","2",4913.61309760214,1,0
"069",15,"[5200,5600)","2",5397.35134419243,3,0
"069",15,"[5600,6000]","2",5863.21712355857,3,0
"17",1,"[ 800,1200)","1",1040.56998901069,1,0
"17",1,"[1200,1600)","1",1407.69133996218,3,0
"17",1,"[1600,2000)","1",1882.07975088153,2,0
"17",1,"[2000,2400)","2",2273.58073904179,1,0
"17",1,"[2400,2800)","2",2590.55624902248,3,1
"17",1,"[2800,3200)","2",3006.69743516483,2,0
"17",1,"[3200,3600)","2",3390.2586074546,3,0
"17",1,"[3600,4000)","2",3823.17201967817,2,0
"17",1,"[4000,4400)","1",4298.13286941499,2,0
"17",1,"[4000,4400)","2",4106.22564493679,1,0
"17",1,"[4400,4800)","1",4656.29997255746,2,1
"17",1,"[4800,5200)","1",4989.43603690714,2,0
"17",1,"[5200,5600)","1",5339.58452672232,2,0
"17",1,"[5600,6000]","1",5772.40043575875,3,0
"17",2,"[   0, 400)","1",382.014693459496,1,0
"17",2,"[ 400, 800)","1",648.396409815177,2,0
"17",2,"[ 800,1200)","1",1031.95460233837,3,2
"17",2,"[1200,1600)","1",1481.28333583008,2,0
"17",2,"[1600,2000)","1",1797.95491346158,2,0
"17",2,"[2000,2400)","1",2214.24740366638,3,0
"17",2,"[2400,2800)","1",2547.46077535674,1,0
"17",2,"[2400,2800)","2",2647.53096434288,1,0
"17",2,"[2800,3200)","2",2997.39439366385,3,0
"17",2,"[3200,3600)","2",3397.29970437474,2,0
"17",2,"[3600,4000)","1",3780.3503498435,1,0
"17",2,"[3600,4000)","2",3630.75608946383,1,0
"17",2,"[4000,4400)","1",4180.24639040232,3,1
"17",2,"[4400,4800)","1",4588.54344289284,2,1
"17",2,"[4800,5200)","1",4996.5739750769,3,1
"17",2,"[5200,5600)","1",5421.62388563156,2,1
"17",2,"[5600,6000]","1",5679.64547872543,1,0
"17",3,"[ 400, 800)","1",583.541803993285,2,0
"17",3,"[ 800,1200)","1",975.104042328894,3,1
"17",3,"[1200,1600)","1",1341.72678552568,1,1
"17",3,"[1200,1600)","2",1491.60047806799,1,0
"17",3,"[1600,2000)","2",1808.11975873075,3,0
"17",3,"[2000,2400)","2",2241.24787701294,2,1
"17",3,"[2400,2800)","1",2558.28678898979,2,0
"17",3,"[2800,3200)","1",2974.53524521552,3,1
"17",3,"[3200,3600)","1",3382.62173021212,2,0
"17",3,"[3600,4000)","1",3790.72841117159,3,1
"17",3,"[4000,4400)","1",4190.63057680614,2,0
"17",3,"[4400,4800)","1",4573.99293477648,2,0
"17",3,"[4800,5200)","2",4990.43805315159,3,1
"17",3,"[5200,5600)","2",5382.18768325168,2,0
"17",3,"[5600,6000]","2",5790.21854652092,3,0
"17",4,"[ 400, 800)","1",609.635446919128,3,0
"17",4,"[ 800,1200)","1",1026.00607217755,2,1
"17",4,"[1200,1600)","1",1350.76992865652,2,0
"17",4,"[1600,2000)","1",1775.60728508979,3,1
"17",4,"[2000,2400)","1",2242.09544400219,2,1
"17",4,"[2400,2800)","1",2600.31287150924,2,0
