"id","instrial","latency_bin","switch","binmedian_1","binmedian_2","npress_1","npress_2","nreward_1","nreward_2"
"068",1,"[ 100, 150)",NA,NA,NA,0,0,0,0
"068",1,"[ 150, 200)",NA,NA,NA,0,0,0,0
"068",1,"[ 200, 250)",NA,NA,NA,0,0,0,0
"068",1,"[ 250, 300)",NA,NA,NA,0,0,0,0
"068",1,"[ 300, 350)",NA,NA,NA,0,0,0,0
"068",1,"[ 350, 400)",NA,NA,NA,0,0,0,0
"068",1,"[ 400, 450)",NA,NA,NA,0,0,0,0
"068",1,"[ 450, 500)",NA,NA,NA,0,0,0,0
"068",1,"[ 500, 550)",NA,NA,NA,0,0,0,0
"068",1,"[ 550, 600)",NA,NA,NA,0,0,0,0
"068",1,"[ 600, 650)",0,NA,612.897255632561,0,1,0,0
"068",1,"[ 650, 700)",NA,NA,NA,0,0,0,0
"068",1,"[ 700, 750)",NA,NA,NA,0,0,0,0
"068",1,"[ 750, 800)",0,NA,779.602438036818,0,1,0,0
"068",1,"[ 800, 850)",NA,NA,NA,0,0,0,0
"068",1,"[ 850, 900)",NA,NA,NA,0,0,0,0
"068",1,"[ 900, 950)",0,NA,929.606245481409,0,1,0,0
"068",1,"[ 950,1000)",NA,NA,NA,0,0,0,0
"068",1,"[1000,1050)",NA,NA,NA,0,0,0,0
"068",1,"[1050,1100)",0,NA,1062.88186041638,0,1,0,0
"068",1,"[1100,1150)",NA,NA,NA,0,0,0,0
"068",1,"[1150,1200)",0,NA,1196.54980616178,0,1,0,0
"068",1,"[1200,1250)",NA,NA,NA,0,0,0,0
"068",1,"[1250,1300)",0,NA,1296.0942388745,0,1,0,0
"068",1,"[1300,1350)",NA,NA,NA,0,0,0,0
"068",1,"[1350,1400)",NA,NA,NA,0,0,0,0
"068",1,"[1400,1450)",0,NA,1446.14274217747,0,1,0,0
"068",1,"[1450,1500)",NA,NA,NA,0,0,0,0
"068",1,"[1500,1550)",NA,NA,NA,0,0,0,0
"068",1,"[1550,1600)",0,NA,1563.06693458464,0,1,0,0
"068",1,"[1600,1650)",NA,NA,NA,0,0,0,0
"068",1,"[1650,1700)",0,NA,1695.97836054163,0,1,0,0
"068",1,"[1700,1750)",NA,NA,NA,0,0,0,0
"068",1,"[1750,1800)",NA,NA,NA,0,0,0,0
"068",1,"[1800,1850)",NA,NA,NA,0,0,0,0
"068",1,"[1850,1900)",0,NA,1862.52032004995,0,1,0,0
"068",1,"[1900,1950)",NA,NA,NA,0,0,0,0
"068",1,"[1950,2000)",0,NA,1979.51668809401,0,1,0,0
"068",1,"[2000,2050)",NA,NA,NA,0,0,0,0
"068",1,"[2050,2100)",NA,NA,NA,0,0,0,0
"068",1,"[2100,2150)",0,NA,2112.38507356029,0,1,0,0
"068",1,"[2150,2200)",NA,NA,NA,0,0,0,0
"068",1,"[2200,2250)",NA,NA,NA,0,0,0,0
"068",1,"[2250,2300)",NA,NA,NA,0,0,0,0
"068",1,"[2300,2350)",0,NA,2345.6249316805,0,1,0,0
"068",1,"[2350,2400)",NA,NA,NA,0,0,0,0
"068",1,"[2400,2450)",NA,NA,NA,0,0,0,0
"068",1,"[2450,2500)",NA,NA,NA,0,0,0,0
"068",1,"[2500,2550)",0,NA,2512.26389792282,0,1,0,0
"068",1,"[2550,2600)",NA,NA,NA,0,0,0,0
"068",1,"[2600,2650)",0,NA,2645.50739800325,0,1,0,0
"068",1,"[2650,2700)",NA,NA,NA,0,0,0,0
"068",1,"[2700,2750)",NA,NA,NA,0,0,0,0
"068",1,"[2750,2800)",NA,NA,NA,0,0,0,0
"068",1,"[2800,2850)",0,NA,2845.39251291426,0,1,0,0
