"id","instrial","latency_bin","binmedian_1","binmedian_2","npress_1","npress_2","nreward_1","nreward_2"
"068",1,"[ 600, 900)",NA,696.249846834689,0,2,0,0
"068",1,"[ 900,1200)",NA,1062.88186041638,0,3,0,0
"068",1,"[1200,1500)",NA,1371.11849052598,0,2,0,0
"068",1,"[1500,1800)",NA,1629.52264756314,0,2,0,0
"068",1,"[1800,2100)",NA,1921.01850407198,0,2,0,0
"068",1,"[2100,2400)",NA,2229.0050026204,0,2,0,0
"068",1,"[2400,2700)",NA,2578.88564796303,0,2,0,0
"068",1,"[2700,3000)",NA,2845.39251291426,0,1,0,0
"068",1,"[3000,3300)",NA,3087.00126802433,0,2,0,0
"068",1,"[3300,3600)",NA,3395.34351293696,0,2,0,0
"068",1,"[3600,3900)",NA,3736.77431207034,0,2,0,1
"068",1,"[3900,4200)",NA,4062.15778653859,0,2,0,1
"068",1,"[4200,4500)",NA,4370.06333578029,0,2,0,0
"068",1,"[4500,4800)",NA,4661.61580709741,0,2,0,0
"068",1,"[4800,5100)",NA,4953.33663307247,0,2,0,1
"068",1,"[5100,5400)",NA,5261.62772602401,0,2,0,0
"068",1,"[5400,5700)",NA,5553.08136975509,0,2,0,0
"068",1,"[5700,6000]",NA,5852.97807247844,0,2,0,0
"068",2,"[ 300, 600)",442.778463853756,NA,2,0,1,0
"068",2,"[ 600, 900)",800.90186430607,NA,1,0,0,0
"068",2,"[ 900,1200)",1034.46800267557,NA,2,0,0,0
"068",2,"[1200,1500)",1217.64594869455,1467.27762121009,1,1,0,0
"068",2,"[1500,1800)",NA,1634.02485090774,0,1,0,0
"068",2,"[1800,2100)",NA,1933.82951320382,0,3,0,1
"068",2,"[2100,2400)",NA,2200.91047242749,0,1,0,0
"068",2,"[2400,2700)",NA,2534.41122232471,0,1,0,0
"068",2,"[2700,3000)",NA,2816.84407079592,0,1,0,0
"068",2,"[3000,3300)",NA,3175.01729895594,0,2,0,0
"068",2,"[3300,3600)",NA,3433.25277027907,0,2,0,0
"068",2,"[3600,3900)",NA,3708.20567404735,0,2,0,1
"068",2,"[3900,4200)",NA,3991.76237659412,0,2,0,1
"068",2,"[4200,4500)",NA,4349.87269938575,0,2,0,0
"068",2,"[4500,4800)",NA,4724.57927896176,0,2,0,0
"068",2,"[4800,5100)",NA,4949.50851041358,0,1,0,0
"068",2,"[5100,5400)",NA,5191.05849866173,0,2,0,0
"068",2,"[5400,5700)",5533.19747978821,NA,1,0,0,0
"068",2,"[5700,6000]",5865.76921673259,NA,3,0,1,0
"068",3,"[ 300, 600)",497.37916374579,NA,2,0,0,0
"068",3,"[ 600, 900)",797.373038745719,NA,2,0,1,0
"068",3,"[ 900,1200)",1080.51489701029,NA,2,0,1,0
"068",3,"[1200,1500)",1363.96730906563,NA,2,0,1,0
"068",3,"[1500,1800)",1655.64774320228,NA,2,0,1,0
"068",3,"[1800,2100)",1946.90157959121,NA,2,0,0,0
"068",3,"[2100,2400)",2188.90117568662,NA,1,0,0,0
"068",3,"[2400,2700)",NA,2496.75474522519,0,2,0,0
"068",3,"[2700,3000)",NA,2830.08416075609,0,2,0,0
"068",3,"[3000,3300)",NA,3113.15450552501,0,2,0,0
"068",3,"[3300,3600)",NA,3421.25141949509,0,2,0,0
"068",3,"[3600,3900)",NA,3738.05095994612,0,2,0,1
"068",3,"[3900,4200)",NA,4038.65981771378,0,2,0,0
"068",3,"[4200,4500)",NA,4346.93634309224,0,2,0,1
"068",3,"[4500,4800)",4621.17957498413,NA,1,0,0,0
"068",3,"[4800,5100)",4879.46222533355,NA,2,0,1,0
"068",3,"[5100,5400)",5204.43962904392,NA,2,0,0,0
"068",3,"[5400,5700)",5537.71540950402,NA,2,0,1,0
"068",3,"[5700,6000]",5887.24345370428,NA,2,0,0,0
"068",4,"[ 300, 600)",518.638860317878,NA,1,0,0,0
"068",4,"[ 600, 900)",777.050963282818,NA,2,0,2,0
"068",4,"[ 900,1200)",1076.86919986736,NA,2,0,0,0
"068",4,"[1200,1500)",1385.01875574002,NA,2,0,1,0
"068",4,"[1500,1800)",1618.83552232757,NA,1,0,1,0
"068",4,"[1800,2100)",1876.53795347433,NA,2,0,0,0
"068",4,"[2100,2400)",2209.72682515275,NA,2,0,0,0
"068",4,"[2400,2700)",2576.26895024441,NA,2,0,1,0
"068",4,"[2700,3000)",2834.49631009717,NA,1,0,1,0
"068",4,"[3000,3300)",3084.42297569127,NA,2,0,0,0
"068",4,"[3300,3600)",3417.63469198486,NA,2,0,1,0
"068",4,"[3600,3900)",3850.84806365194,NA,1,0,0,0
"068",4,"[3900,4200)",4084.18459747918,NA,1,0,1,0
"068",4,"[4200,4500)",4367.45375630562,NA,2,0,0,0
"068",4,"[4500,4800)",4650.97884065472,NA,1,0,0,0
"068",4,"[4800,5100)",4950.89044203633,NA,2,0,1,0
"068",4,"[5100,5400)",5233.65602683043,NA,1,0,0,0
"068",4,"[5400,5700)",5508.54784616967,NA,2,0,0,0
"068",4,"[5700,6000]",5867.06208757824,NA,2,0,0,0
"068",5,"[ 300, 600)",NA,452.578457887284,0,2,0,0
"068",5,"[ 600, 900)",NA,760.938250110484,0,2,0,2
"068",5,"[ 900,1200)",NA,1077.75020611006,0,2,0,0
"068",5,"[1200,1500)",NA,1361.03426356567,0,2,0,0
"068",5,"[1500,1800)",1785.54997500032,1618.98616410326,1,1,0,0
"068",5,"[1800,2100)",1985.35132646794,NA,1,0,0,0
