"id","instrial","latency_bin","binmedian_1","binmedian_2","npress_1","npress_2","nreward_1","nreward_2"
"068",6,"[4000,4400)",4196.60757976817,NA,2,0,0,0
"068",6,"[4400,4800)",4679.95222503668,NA,2,0,0,0
"068",6,"[4800,5200)",5046.55278587598,NA,2,0,1,0
"068",6,"[5200,5600)",5379.77906971355,NA,2,0,2,0
"068",6,"[5600,6000]",5738.353733439,NA,3,0,1,0
"068",7,"[   0, 400)",279.969937808346,NA,1,0,0,0
"068",7,"[ 400, 800)",680.341410567053,413.78885647282,1,1,0,0
"068",7,"[ 800,1200)",NA,1113.28462028177,0,1,0,0
"068",7,"[1200,1600)",NA,1396.54914394487,0,3,0,2
"068",7,"[1600,2000)",NA,1812.9495664034,0,3,0,1
"068",7,"[2000,2400)",NA,2229.44202937651,0,3,0,2
"068",7,"[2400,2800)",NA,2712.45758025907,0,1,0,0
"068",7,"[2800,3200)",NA,2987.45782856713,0,2,0,0
"068",7,"[3200,3600)",NA,3395.57046891423,0,3,0,0
"068",7,"[3600,4000)",NA,3828.79509733175,0,2,0,1
"068",7,"[4000,4400)",NA,4211.9295062148,0,3,0,0
"068",7,"[4400,4800)",NA,4545.19883060129,0,1,0,1
"068",7,"[4800,5200)",5011.92884409102,NA,3,0,0,0
"068",7,"[5200,5600)",5469.86137639033,NA,2,0,0,0
"068",7,"[5600,6000]",5819.77198456297,NA,2,0,0,0
"068",8,"[   0, 400)",327.644260250963,NA,1,0,1,0
"068",8,"[ 400, 800)",569.398359861225,NA,2,0,0,0
"068",8,"[ 800,1200)",961.441658611875,NA,3,0,2,0
"068",8,"[1200,1600)",1493.98773678695,NA,2,0,2,0
"068",8,"[1600,2000)",1777.76527032256,NA,1,0,0,0
"068",8,"[2000,2400)",2285.45661023236,NA,2,0,0,0
"068",8,"[2400,2800)",2635.39138727356,NA,2,0,1,0
"068",8,"[2800,3200)",2968.51801578305,NA,2,0,0,0
"068",8,"[3200,3600)",3451.67477265931,NA,2,0,0,0
"068",8,"[3600,4000)",3826.55914264615,NA,2,0,0,0
"068",8,"[4000,4400)",4143.05061235791,NA,2,0,1,0
"068",8,"[4400,4800)",4509.5975380973,NA,2,0,0,0
"068",8,"[4800,5200)",4917.99159717629,NA,2,0,0,0
"068",8,"[5200,5600)",5392.72615307709,NA,3,0,2,0
"068",8,"[5600,6000]",5850.83697250229,NA,2,0,0,0
"068",9,"[   0, 400)",350.114719534758,NA,1,0,0,0
"068",9,"[ 400, 800)",616.720908728894,NA,2,0,0,0
"068",9,"[ 800,1200)",1033.16437173635,NA,3,0,2,0
"068",9,"[1200,1600)",1441.7122178711,NA,2,0,1,0
"068",9,"[1600,2000)",1816.29017251544,NA,3,0,1,0
"068",9,"[2000,2400)",2216.19581448613,NA,2,0,0,0
"068",9,"[2400,2800)",2666.38966230676,NA,3,0,2,0
"068",9,"[2800,3200)",3065.91903086519,NA,2,0,1,0
"068",9,"[3200,3600)",3407.72660000949,NA,2,0,0,0
"068",9,"[3600,4000)",3765.890557901,NA,2,0,2,0
"068",9,"[4000,4400)",4182.48433156987,NA,2,0,0,0
"068",9,"[4400,4800)",4532.0482981042,4731.98274406604,1,1,0,0
"068",9,"[4800,5200)",NA,4991.2313228997,0,2,0,0
"068",9,"[5200,5600)",NA,5381.85147050535,0,3,0,1
"068",9,"[5600,6000]",5832.0398555079,NA,2,0,0,0
"069",1,"[ 400, 800)",784.460667462554,NA,1,0,0,0
"069",1,"[ 800,1200)",1067.69815256302,NA,2,0,1,0
"069",1,"[1200,1600)",1417.69699377619,NA,1,0,0,0
"069",1,"[1600,2000)",1884.28684942483,NA,1,0,0,0
"069",1,"[2000,2400)",2242.40978016314,NA,2,0,1,0
"069",1,"[2400,2800)",NA,2618.31214408812,0,1,0,0
